
time,qw,qx,qy,qz,roll,pitch,yaw,hfbx,hfby,hfbz,ax,ay,az,hgx,hgy,hgz
1.115296,0.077331,-0.996743,0.025497,0.010818,-171.165436,1.461762,-2.818439,0.005694,0.000647,-0.000256,-0.026199,-0.166779,-1.005508,-0.013527,-0.076163,-0.493982
1.125324,0.077774,-0.996715,0.025528,0.010086,-171.112686,1.379619,-2.827745,0.002723,0.003920,-0.000680,-0.017868,-0.161804,-1.004456,-0.012755,-0.076803,-0.493903
1.135351,0.078019,-0.996699,0.025574,0.009644,-171.083405,1.330193,-2.836595,-0.000443,0.004371,-0.000673,-0.015549,-0.156815,-1.008209,-0.012038,-0.077261,-0.493850
1.145378,0.078187,-0.996684,0.025620,0.009659,-171.064209,1.332823,-2.841470,-0.001164,0.001773,-0.000251,-0.020065,-0.156082,-1.009689,-0.011607,-0.077515,-0.493820
1.155405,0.078339,-0.996669,0.025635,0.009949,-171.047470,1.366512,-2.840435,-0.000002,0.000550,-0.000086,-0.022568,-0.158310,-1.006363,-0.011630,-0.077680,-0.493794
1.165432,0.078415,-0.996660,0.025620,0.010315,-171.039719,1.408411,-2.835304,-0.000186,0.000755,-0.000115,-0.022430,-0.156052,-0.992493,-0.011924,-0.077824,-0.493764
1.175459,0.078751,-0.996630,0.025696,0.010483,-171.001709,1.429226,-2.842054,0.002072,-0.002109,0.000281,-0.028076,-0.155670,-0.960907,-0.012289,-0.077889,-0.493745
1.185487,0.079605,-0.996560,0.025863,0.010345,-170.903488,1.417486,-2.861230,0.009505,-0.003523,0.000318,-0.030624,-0.167664,-0.941971,-0.012471,-0.078216,-0.493688
1.195514,0.080170,-0.996511,0.026016,0.010223,-170.838379,1.406582,-2.879012,0.007290,-0.001979,0.000134,-0.027802,-0.167191,-0.954346,-0.012369,-0.079063,-0.493556
1.205541,0.080398,-0.996487,0.026092,0.010590,-170.813248,1.449755,-2.884048,0.005485,-0.003199,0.000380,-0.030029,-0.164825,-0.954742,-0.012274,-0.079624,-0.493468
1.215568,0.080369,-0.996487,0.026017,0.010971,-170.817505,1.492561,-2.871938,0.006013,-0.001029,0.000012,-0.026688,-0.167480,-0.961548,-0.012650,-0.079840,-0.493424
1.225595,0.080171,-0.996501,0.025925,0.011368,-170.841217,1.536462,-2.858162,0.005793,-0.001055,0.000018,-0.027863,-0.169373,-0.975372,-0.013024,-0.079801,-0.493420
1.235622,0.079835,-0.996528,0.025864,0.011536,-170.880188,1.554109,-2.850174,0.004363,-0.000496,-0.000038,-0.027664,-0.167099,-0.981339,-0.013407,-0.079595,-0.493443
1.245650,0.079406,-0.996563,0.025833,0.011505,-170.929245,1.549106,-2.847597,0.002803,-0.000509,0.000005,-0.028122,-0.164017,-0.985870,-0.013560,-0.079259,-0.493493
1.255677,0.078995,-0.996599,0.025818,0.011246,-170.975830,1.518170,-2.848828,0.001679,0.000243,-0.000085,-0.026627,-0.161591,-0.990280,-0.013517,-0.078836,-0.493562
1.265704,0.078674,-0.996629,0.025818,0.010849,-171.011612,1.471935,-2.852850,0.001833,-0.000167,-0.000023,-0.027039,-0.161819,-0.994843,-0.013247,-0.078436,-0.493633
1.275731,0.078399,-0.996655,0.025833,0.010467,-171.042236,1.427702,-2.858376,0.002926,-0.002018,0.000243,-0.029724,-0.161896,-0.985596,-0.012844,-0.078129,-0.493693
1.285758,0.078171,-0.996675,0.025848,0.010117,-171.067566,1.387101,-2.863573,0.004364,-0.002271,0.000248,-0.029083,-0.162140,-0.972824,-0.012458,-0.077867,-0.493744
1.295786,0.078232,-0.996674,0.025879,0.009735,-171.059601,1.343971,-2.870358,0.007823,0.001154,-0.000373,-0.021606,-0.169159,-0.975922,-0.012104,-0.077650,-0.493787
1.305813,0.078368,-0.996663,0.025955,0.009521,-171.043457,1.320631,-2.880764,0.007868,0.001502,-0.000423,-0.020340,-0.170868,-0.984436,-0.011727,-0.077720,-0.493785
1.315840,0.078460,-0.996653,0.026169,0.009232,-171.032379,1.289702,-2.907657,0.005179,0.004111,-0.000769,-0.014832,-0.167572,-0.995560,-0.011524,-0.077860,-0.493768
1.325867,0.078522,-0.996641,0.026520,0.009018,-171.025208,1.268632,-2.949609,0.002532,0.005433,-0.000915,-0.011642,-0.163010,-0.999588,-0.011254,-0.077956,-0.493759
1.335894,0.078461,-0.996632,0.026993,0.009079,-171.032913,1.279674,-3.003237,-0.000923,0.002849,-0.000429,-0.016479,-0.155167,-0.993897,-0.011070,-0.078019,-0.493753
1.345921,0.078293,-0.996629,0.027496,0.009415,-171.053833,1.322012,-3.058026,-0.004082,-0.000711,0.000204,-0.023727,-0.147385,-0.985764,-0.011166,-0.077952,-0.493761
1.355949,0.078064,-0.996627,0.027985,0.010056,-171.082642,1.398867,-3.108479,-0.004893,-0.005780,0.001025,-0.034210,-0.143341,-0.971939,-0.011536,-0.077770,-0.493782
1.365976,0.077759,-0.996633,0.028443,0.010529,-171.119675,1.456023,-3.157097,-0.005170,-0.006261,0.001111,-0.036407,-0.141983,-0.969849,-0.012206,-0.077519,-0.493805
1.376003,0.077286,-0.996656,0.028854,0.010712,-171.175232,1.479065,-3.203270,-0.007066,-0.005832,0.001094,-0.036713,-0.138290,-0.974823,-0.012705,-0.077198,-0.493843
1.386030,0.076676,-0.996693,0.029190,0.010757,-171.245926,1.485283,-3.242183,-0.007719,-0.008922,0.001588,-0.043365,-0.136337,-0.977081,-0.012906,-0.076718,-0.493912
1.396057,0.076020,-0.996738,0.029450,0.010529,-171.320984,1.459251,-3.274787,-0.007161,-0.008684,0.001526,-0.043045,-0.136398,-0.978348,-0.012960,-0.076108,-0.494005
1.406084,0.075286,-0.996789,0.029617,0.010513,-171.405380,1.456528,-3.295151,-0.006362,-0.009104,0.001554,-0.043457,-0.136780,-0.979019,-0.012733,-0.075461,-0.494110
1.416112,0.074524,-0.996840,0.029709,0.010773,-171.493897,1.484433,-3.304567,-0.003978,-0.006636,0.001106,-0.038681,-0.140869,-0.984558,-0.012709,-0.074733,-0.494221
1.426139,0.073593,-0.996906,0.029755,0.011002,-171.601532,1.507893,-3.309295,-0.003616,0.002608,-0.000296,-0.020599,-0.140381,-0.986893,-0.012953,-0.073968,-0.494330
1.436166,0.072555,-0.996974,0.029785,0.011581,-171.722611,1.570948,-3.309578,-0.002870,0.001877,-0.000201,-0.022385,-0.139420,-0.982864,-0.013157,-0.073038,-0.494463
1.446193,0.071548,-0.997039,0.029739,0.012329,-171.840439,1.652685,-3.299901,-0.000750,-0.001168,0.000191,-0.029465,-0.140976,-0.978867,-0.013707,-0.071991,-0.494602
1.456220,0.070619,-0.997100,0.029648,0.012970,-171.949005,1.722142,-3.285911,0.000078,-0.003817,0.000545,-0.036179,-0.140625,-0.979202,-0.014420,-0.070970,-0.494729
1.466247,0.069779,-0.997153,0.029587,0.013580,-172.047195,1.788640,-3.275553,-0.000509,-0.005216,0.000754,-0.040146,-0.137497,-0.978775,-0.015026,-0.070029,-0.494845
1.476275,0.068984,-0.997201,0.029632,0.014053,-172.139938,1.840437,-3.278498,-0.001421,-0.003712,0.000564,-0.038544,-0.134903,-0.985626,-0.015606,-0.069178,-0.494946
1.486302,0.068039,-0.997260,0.029770,0.014114,-172.248871,1.845398,-3.295533,-0.004597,0.004154,-0.000425,-0.023697,-0.127258,-0.988373,-0.016058,-0.068375,-0.495044
